Country Name,Growth,GDP Per Capita
Myanmar,1303.799058353490,1400.2182418995600
China,994.50664836341,10500.3956159637
Moldova,932.770486676325,4551.13067562421
Ghana,800.8880231782650,2328.5346421107900
Mongolia,745.0367844342020,4007.30888507766
Serbia,738.0371828405600,7666.244475959210
Romania,676.9160352014190,12896.0886211622
Ethiopia,652.3176210616730,936.340461064749
Kazakhstan,636.8377398761550,9055.74500903002
Guyana,628.8282584670170,6955.939217177890
Vietnam,614.1173498668240,2785.724156875
Armenia,585.2692608024640,4267.452119381570
Azerbaijan,543.2885103580020,4214.3113363475
Tajikistan,520.6337186787240,859.137961121368
Bulgaria,515.3167811301710,9975.780000709240
Lithuania,507.23340476458900,19997.5925262112
Ukraine,486.2673033189550,3726.92714937055
Estonia,471.9441672851700,23312.2763272181
Russian Federation,471.6163780156720,10126.7217935297
Georgia,470.5843541240760,4278.86077091661
Latvia,424.7803065675700,17619.9523907399
Nepal,403.35129131183000,1155.14285440358
Cambodia,403.2132129260240,1512.72775264685
Belarus,402.25288097129,6411.2278131981
Indonesia,395.98013456941700,3869.5884270453700
Montenegro,372.38782049989400,7686.092949186510
Bangladesh,370.9252533564660,1968.7922248458100
Albania,362.8875453088680,5215.2767523700300
Kenya,362.4629345073670,1838.20996794042
Djibouti,345.9225089828770,3425.5034504707700
Papua New Guinea,337.871040236136,2636.8002494333
Bhutan,334.75243490140700,3122.37606234724
India,328.7493692395200,1900.70680971528
Sri Lanka,323.37060511433500,3682.0384245928200
Kyrgyz Republic,319.7171746112390,1173.6113557621300
Equatorial Guinea,313.966984935651,7143.23870497146
Bosnia and Herzegovina,310.9315663884370,6031.556868676580
Malawi,299.84069015584800,625.2941291601400
Kosovo,294.1302713261180,4287.20090326802
Ecuador,287.49531113412800,5600.38961495341
Czech Republic,277.54275904299400,22762.1971366777
Chad,269.76835788485000,614.465189935689
Nigeria,269.251458210046,2097.09247289022
Thailand,258.0672183115240,7189.04183501668
Cote d'Ivoire,256.19917906881600,2325.72370502247
Slovak Republic,253.89537358309200,19156.8896116995
Sierra Leone,249.33361948849100,484.52126748358500
Poland,247.8027876408040,15656.1827308666
Hungary,243.81876927132700,15899.1482797158
Angola,240.45246882580700,1895.7708689131300
Maldives,233.65566707603500,7455.85572772295
Timor-Leste,232.74449908383600,1381.17566036276
Guinea,228.49960859269600,1194.0378646946400
Burkina Faso,224.9372009272880,830.9251446219390
Suriname,222.5760699650290,6491.139065384980
Ireland,219.3334751326050,83812.8029661508
Costa Rica,218.7290249974040,12076.8145138494
North Macedonia,217.49198481231300,5888.00401517897
Mali,217.47848299749200,858.9158054962350
Bolivia,215.0664592438980,3143.0454942418900
Peru,213.30088546854600,6126.8745397886700
Uganda,212.00154084388000,817.0357569269230
Philippines,207.49459952078500,3298.8298514292000
New Zealand,206.36667689044700,41791.79308952
Rwanda,206.1596024435140,797.855554346228
Zambia,204.0066059194320,1050.91928305741
Panama,202.16967292924700,12269.0489963771
Togo,202.00516073888500,914.950582595136
Uzbekistan,201.98566954732700,1685.76494675082
Paraguay,197.53155834661400,4949.74970033259
Niger,185.62587500111600,565.0613331183800
Croatia,185.6173846536840,13828.469504884600
Tuvalu,183.16056799108700,4143.10975263011
Guatemala,176.5933123874310,4603.33961670975
Malta,167.2906997226580,27884.642827425100
Samoa,163.76761362395400,4067.4726295115200
Tanzania,161.94529463807800,1076.4703845535200
Chile,160.72823870566000,13231.7042069383
Jordan,159.3066904661660,4282.765822610850
Malaysia,157.23692136413400,10401.7940137994
"Korea, Rep.",156.90739350353300,31489.1226973168
Dominican Republic,153.3198204688580,7268.1969096591
Benin,151.82497399242700,1291.04096203645
Singapore,150.69986718035900,59797.7521801188
Mauritania,147.265759956803,1672.9235348238
Slovenia,146.82793803532200,25179.667172293600
"Egypt, Arab Rep.",144.6004108407190,3547.8708481380900
Cabo Verde,143.32115179852400,3064.2723884281900
Senegal,141.06677570721600,1487.7573088192
Trinidad and Tobago,139.06322625361300,15384.0394609875
Australia,138.99424193135600,51812.154037398800
Luxembourg,137.75774242424000,115873.60263020300
Fiji,135.9002993028600,4881.52606919802
Guinea-Bissau,135.51177425323400,727.5201717195620
Cameroon,130.10270657961000,1499.37284272297
Morocco,125.42149096038700,3009.2494595815200
Uruguay,124.55788322968,15438.4116657291
Switzerland,122.32871322389100,86601.5564126289
Solomon Islands,121.93099784318800,2258.40036455455
Honduras,120.08187913412800,2405.73284775141
Mauritius,119.45812763865700,8622.67551491013
Saudi Arabia,119.27368173673600,20110.3161923744
Comoros,116.64188601941600,1402.59548928279
Colombia,111.57760508134100,5332.77352412685
Kiribati,109.69101066806200,1670.8246905941200
Pakistan,107.17503532479500,1193.73339713731
Israel,106.67337144577500,43610.5203308148
Iraq,101.98981690736600,4157.48449469489
Finland,101.93699638969300,49041.3422565659
Burundi,100.79257669410600,274.009523229095
Zimbabwe,100.37220054272600,1128.2107112980800
Netherlands,100.02002044556200,52304.0573851896
Puerto Rico,99.42359142812990,32290.9211360931
St. Vincent and the Grenadines,98.50961406388170,7297.9123498741
Denmark,98.1190842569154,60908.8351349442
Eswatini,97.57266765790570,3415.4594462447300
Lesotho,97.25955291350240,861.0145480915260
Turkey,96.84639447148390,8538.16905982745
Austria,95.83319952528860,48105.3646248411
Portugal,95.1674903375382,22439.8768739626
Belgium,93.53909638386040,44594.3781075628
Germany,93.44974203287720,45723.644103932800
Namibia,92.67217267133820,4211.05092913395
Grenada,91.42217435268760,9680.17582544907
"Congo, Rep.",91.11263422196450,1972.5452461909300
Botswana,90.528058182265,6710.990411266
Liberia,90.0936615400579,583.271727316711
Central African Republic,89.8237547142172,476.85111271985700
El Salvador,89.78568642428390,3798.6365208232100
Vanuatu,89.23680546794280,2782.9843403731300
Nicaragua,89.10740060459810,1905.25675597599
Algeria,87.5544715340855,3310.3865335236800
Cyprus,85.03723136569080,26623.8008913181
Iceland,84.634221760611,59260.887138168200
Spain,83.89888311730770,27057.163515123900
St. Kitts and Nevis,82.2707373083871,17435.9274299115
Brazil,81.26111374028510,6796.844542278770
"Hong Kong SAR, China",79.8519553662702,46323.8634424384
Canada,78.16165038357880,43241.6178282827
Norway,76.48019745185130,67294.47697866930
Sweden,75.27718758037060,51925.71375963850
United States,74.88299799680270,63543.577788724000
France,72.7106806358079,38625.0673845578
Qatar,69.48618711798030,50805.463567753200
Gabon,69.38810455247400,7005.87909704756
Madagascar,68.75964648642460,495.49040089145800
South Africa,67.87525551802730,5090.71502455292
Sudan,62.61937735166760,595.467833007679
Italy,57.69038977395460,31676.202098734900
St. Lucia,55.89989580050620,9276.11782856052
Brunei Darussalam,52.48486492456220,27466.3396414199
Seychelles,50.74966969758330,11425.0929292519
Tunisia,50.093429225087700,3319.81902353323
Greece,46.77622198544160,17676.1924769339
Haiti,45.00382003351150,1176.75581952799
United Kingdom,43.07520903849870,40284.6384553276
Mozambique,40.470937557984700,448.60745358072400
Jamaica,37.51057797393380,4664.52915035973
"Congo, Dem. Rep.",37.411376880909800,556.8131852991750
"Iran, Islamic Rep.",36.678960651235900,2282.55186460415
Dominica,36.32130103439440,6526.79321540707
Barbados,34.81183652229160,15191.1640353411
Antigua and Barbuda,32.90661486824530,14449.9965204973
"Gambia, The",32.459355530462900,787.006450894821
Belize,31.836290016106600,4435.62115419432
Mexico,16.609649202309800,8346.70237883571
Argentina,9.520120507852910,8441.919439109400
Lebanon,8.89117035276239,4891.001470319440
"Bahamas, The",5.571394004751330,28607.901375213600
Libya,-48.2101804191416,3699.2286208101700
